"id","receita_mil","invest_digital","invest_tradicional","num_promotores","taxa_conversao","impressoes_mil","cpc","num_cliques_mil","duracao_dias","canal","sazonalidade"
1,156.87,19.82,NA,4,3.77,446.9,3.59,16.5,18,"SEO","Alta"
2,175.6,30.5,12.5,4,0.94,615.6,2.83,33.1,27,"E-mail","Alta"
3,146.65,22.25,14.65,3,1.71,418.8,3,20.1,53,"Redes Sociais","Baixa"
4,82,2.72,6.25,2,3.29,93.3,3.73,0.5,36,"Redes Sociais","Alta"
5,147.48,21.52,13.31,5,3.29,410.1,2.85,29.1,22,"E-mail","Baixa"
6,269.08,46.21,4.9,0,2.08,821.8,2.29,49.1,59,"Redes Sociais","Alta"
7,129.23,19.69,11.28,5,1.2,461.7,3.01,30.1,53,"E-mail","Baixa"
8,127.5,17.93,8.59,3,1.72,419.8,3.12,23.9,27,"Display","Alta"
9,173.78,23.55,5.46,0,3.67,478.1,2.62,28.3,20,"Redes Sociais","Alta"
10,220.34,44.84,10.04,2,0.7,814.5,2.75,58.4,14,"E-mail","Baixa"
11,144.15,14.54,12.28,6,2.24,327.1,3.53,15.9,54,"Redes Sociais","Alta"
12,185.51,34.37,11.16,0,2.95,639,2.4,40.7,27,"SEO","Baixa"
13,112.67,17.63,2.46,6,2.4,385.3,3.93,39,26,"Redes Sociais","Baixa"
14,122.49,21.07,0.02,6,2.47,455.3,3.05,23.9,59,"SEO","Baixa"
15,180.3,20.74,6.93,5,3.8,429,2.99,34,33,"Redes Sociais","Alta"
16,178.78,34.37,1.9,3,2.19,666.6,2.17,31.6,13,"E-mail","Baixa"
17,185.29,32.3,8.05,2,2.7,663.7,2.9,39.2,41,"E-mail","Baixa"
18,202.37,37.91,7.91,0,2.13,764.5,2.39,41.1,20,"Redes Sociais","Baixa"
19,211.62,37.79,5.5,3,2.9,742.9,2.86,35.8,13,"Redes Sociais","Baixa"
20,261.51,50.94,0,3,2.18,963.2,2.45,54.1,40,"Redes Sociais","Baixa"
21,168.73,25.85,5.73,7,2.78,543.4,3.38,42.5,33,"Redes Sociais","Baixa"
22,72.6,2,5.84,4,2.41,92,3.29,4,39,"Redes Sociais","Alta"
23,141.42,18.5,0,2,4.4,426.4,2.58,20.4,34,"Redes Sociais","Baixa"
24,153.94,15.69,10.98,5,3.86,294,3.3,24.2,46,"Redes Sociais","Alta"
25,136.85,21.45,7.17,5,2,433.6,3.26,22.2,54,"E-mail","Baixa"
26,220.65,38.82,8.28,2,2.06,781.8,3.25,46,43,"Redes Sociais","Alta"
27,147.76,18.17,10.99,4,1.36,356.3,3.06,23.3,15,"E-mail","Alta"
28,118.79,15.33,13.8,2,1.64,274.2,3.33,16.3,32,"Redes Sociais","Baixa"
29,164.04,30.91,1.46,2,0.93,623.4,3.08,34.2,55,"Redes Sociais","Baixa"
30,193.28,33.41,19.64,1,3.02,633.5,2.57,46.6,59,"SEO","Baixa"
31,144.96,22.08,4.63,2,1.73,432.8,2.42,25.4,32,"Display","Baixa"
32,173.69,29.95,8.45,1,2.4,612.2,2.65,46,18,"Redes Sociais","Baixa"
33,189.57,30.98,10.73,5,3.92,671.1,3.04,35.8,26,"SEO","Baixa"
34,175.35,29.41,5.62,4,3.02,580.7,2.95,33,44,"Redes Sociais","Baixa"
35,138.8,18.15,13.62,3,1.46,405.1,2.67,19.5,51,"E-mail","Alta"
36,198.63,33.87,6.39,6,1.83,595.9,2.62,23.6,9,"E-mail","Alta"
37,84.03,2,6.96,4,1.02,88.7,3.11,0.5,40,"Redes Sociais","Alta"
38,200.74,32.37,20.07,4,1.53,580.5,3.02,36.1,40,"E-mail","Baixa"
39,173.55,29.84,8.22,2,3.69,536.1,2.81,30.2,50,"SEO","Baixa"
40,273.75,49.62,10.21,6,2.87,985.4,2.29,64.3,9,"E-mail","Alta"
41,174.22,28.16,0,3,1.4,577.8,3.21,34.9,57,"E-mail","Alta"
42,168.51,26.33,8.73,2,2.99,541.2,2.65,28.7,9,"Display","Baixa"
43,229.77,39.35,8.08,5,3.09,742.3,3.09,49.8,32,"E-mail","Alta"
44,184.21,33.8,0.44,1,1.62,619.9,2.4,34.7,16,"E-mail","Alta"
45,162.14,24.95,6.78,1,2.38,512,2.3,30.5,9,"Redes Sociais","Baixa"
46,157.41,24.75,3.46,6,2.59,461.6,2.57,31.9,22,"Redes Sociais","Baixa"
47,163.53,26.66,3.44,5,2.77,602.5,2.96,32.6,23,"Display","Alta"
48,121.88,12.16,7.63,5,3.14,271.2,3.24,14.6,50,"Redes Sociais","Baixa"
49,192.85,39.83,8.45,4,2.93,776.4,2.34,44.2,29,"E-mail","Baixa"
50,142.65,18.52,9.19,NA,2.54,336,2.9,20,50,"Redes Sociais","Baixa"
51,180.56,21.45,14.72,1,4.61,451.7,3.23,33.3,35,"Display","Alta"
52,176.94,33.26,5.37,2,2.44,682.7,2.97,38.9,17,"SEO","Baixa"
53,121.27,20.21,8.02,3,1.11,423.2,3.18,19.9,10,"Display","Baixa"
54,154.03,23.76,9.13,5,1.75,479.3,2.67,25.5,12,"Display","Alta"
55,224.62,43.35,11.97,3,2.2,877.3,2.74,44.7,20,"E-mail","Baixa"
56,109.24,17.38,2.3,4,3.19,384.4,3.79,23.8,39,"SEO","Baixa"
57,133.54,22.28,8.23,4,1.36,470.1,2.78,25.4,24,"SEO","Alta"
58,240.41,43.01,8.77,2,1.41,856.2,3.4,50.7,11,"Redes Sociais","Alta"
59,128.95,20.89,1.52,0,2.27,436.3,3.47,26.8,29,"Display","Alta"
60,155.97,18.36,1.34,3,2.99,474.8,2.84,8.6,8,"Redes Sociais","Alta"
61,190.88,28.09,14.29,2,3.1,566.1,2.56,28.5,21,"Redes Sociais","Baixa"
62,173.84,32.36,NA,0,2.23,664.7,2.77,48.6,20,"Display","Baixa"
63,130.35,17.17,4.88,2,1.79,386.6,3.24,22.5,23,"E-mail","Alta"
64,177.28,23.34,9.26,6,4.26,491.6,2.72,27.3,35,"E-mail","Baixa"
65,168.4,23.52,7.27,2,2.87,505,2.84,31,58,"E-mail","Alta"
66,114.43,13.42,4.14,2,2.57,302.1,3.45,20.1,60,"Redes Sociais","Baixa"
67,163.56,25.23,12.16,6,2.96,446.1,2.99,22.3,30,"SEO","Baixa"
68,234.4,45.3,4.65,3,1.9,841.4,2.16,50.9,56,"E-mail","Baixa"
69,208.28,35.63,8.71,0,2.68,761.6,2.7,45.6,12,"E-mail","Alta"
70,136.86,16.24,10.93,1,2.88,399.9,2.96,22.2,48,"SEO","Alta"
71,165.34,29.22,13.8,7,1.92,572.7,1.85,32.7,15,"Display","Baixa"
72,125.62,22.03,4.67,5,2.29,371.2,2.68,24.1,33,"E-mail","Baixa"
73,132.45,23.04,14.69,3,2.95,441.9,2.75,21.8,34,"SEO","Baixa"
74,180.55,35.47,18.48,0,1.25,643.3,2.62,38.4,9,"Display","Baixa"
75,211.99,32.27,8.61,0,3.42,580.5,2.33,38.5,58,"Redes Sociais","Alta"
76,174.25,36.13,3.75,NA,2.35,728.8,2.98,38.5,24,"SEO","Baixa"
77,174.7,30.5,4.13,0,2.03,602.7,2.31,35.6,46,"SEO","Alta"
78,125.08,15.39,5.24,2,1.89,370.2,3.97,21.1,35,"E-mail","Alta"
79,175.77,19.03,10.59,5,3.76,352.8,2.61,27.3,12,"Redes Sociais","Alta"
80,82.45,10.44,14.89,2,2.21,207.8,3.46,5.4,53,"Display","Baixa"
81,220.62,32.44,8.12,1,2.53,653.2,3.62,38.4,32,"Redes Sociais","Alta"
82,218.85,41.32,3.72,1,2.02,828.5,2.4,52.5,17,"Display","Alta"
83,66.47,5.55,5.43,1,1.76,144.7,3.31,10.2,19,"SEO","Baixa"
84,166.02,25.95,13.75,2,2.96,488.2,2.65,20.8,51,"Display","Alta"
85,199.68,31.15,0.74,0,2.44,666.3,3,36.4,14,"Redes Sociais","Alta"
86,141.74,22.37,7.84,6,2.65,503.2,3.39,33.8,22,"Display","Baixa"
87,94.66,15.09,4.97,2,1.96,353.3,2.69,14.4,35,"SEO","Baixa"
88,110.66,12.84,12.33,5,3.29,305.6,2.93,17.6,53,"Display","Baixa"
89,241.07,40.38,9.69,2,2.92,741,2,41.8,60,"Redes Sociais","Alta"
